,time,value
935,03:09:00,54
936,03:09:15,54
937,03:09:20,53
938,03:09:30,54
939,03:09:45,54
940,03:09:50,53
941,03:10:00,54
942,03:10:15,54
943,03:10:30,53
944,03:10:40,55
945,03:10:50,54
946,03:11:00,53
947,03:11:10,52
948,03:11:20,54
949,03:11:35,54
950,03:11:50,54
951,03:12:05,54
952,03:12:10,55
953,03:12:15,56
954,03:12:20,66
955,03:12:30,71
956,03:12:40,69
957,03:12:50,70
958,03:12:55,70
959,03:13:00,71
960,03:13:10,68
961,03:13:15,64
962,03:13:30,68
963,03:13:40,57
964,03:13:50,56
965,03:14:00,57
966,03:14:10,58
967,03:14:25,58
968,03:14:30,56
969,03:14:40,57
970,03:14:50,59
971,03:15:00,56
972,03:15:10,57
973,03:15:20,59
974,03:15:30,58
975,03:15:40,61
976,03:15:50,59
977,03:16:00,56
978,03:16:10,58
979,03:16:20,57
980,03:16:30,58
981,03:16:40,61
982,03:16:50,59
983,03:17:00,60
984,03:17:10,57
985,03:17:20,56
986,03:17:30,57
987,03:17:40,61
988,03:17:50,59
989,03:18:05,59
990,03:18:10,60
991,03:18:20,61
992,03:18:30,58
993,03:18:45,58
994,03:19:00,58
995,03:19:10,57
996,03:19:20,60
997,03:19:30,61
998,03:19:40,58
999,03:19:55,58
1000,03:20:10,60
1001,03:20:20,61
1002,03:20:30,57
1003,03:20:45,57
1004,03:20:50,56
1005,03:21:00,60
1006,03:21:10,56
1007,03:21:25,56
1008,03:21:30,60
1009,03:21:40,56
1010,03:21:50,58
1011,03:22:00,59
1012,03:22:10,57
1013,03:22:20,55
1014,03:22:30,56
1015,03:22:40,60
1016,03:22:50,59
1017,03:23:00,57
1018,03:23:10,56
1019,03:23:20,59
1020,03:23:30,56
1021,03:23:40,57
1022,03:23:50,61
1023,03:24:00,58
1024,03:24:10,60
1025,03:24:25,60
1026,03:24:40,61
1027,03:24:55,61
1028,03:25:00,60
1029,03:25:10,62
1030,03:25:25,62
1031,03:25:30,56
1032,03:25:40,57
1033,03:25:50,59
1034,03:26:05,59
1035,03:26:10,61
1036,03:26:20,60
1037,03:26:35,60
1038,03:26:40,60
1039,03:26:50,64
1040,03:27:05,64
1041,03:27:10,56
1042,03:27:25,56
1043,03:27:40,57
1044,03:27:50,59
1045,03:28:00,61
1046,03:28:10,63
1047,03:28:15,64
1048,03:28:20,69
1049,03:28:30,73
1050,03:28:40,68
1051,03:28:55,68
1052,03:29:00,64
1053,03:29:10,61
1054,03:29:25,61
1055,03:29:40,67
1056,03:29:50,58
1057,03:30:00,56
1058,03:30:10,58
1059,03:30:25,58
1060,03:30:40,59
1061,03:30:50,59
1062,03:31:00,58
1063,03:31:15,58
1064,03:31:20,58
1065,03:31:30,59
1066,03:31:40,58
1067,03:31:50,58
